event_title,organisation,date,location,match_nr,fighter1_name,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,referee,round,time
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",13,Ciryl Gane,Derrick Lewis,win,loss,TKO,Punches, Dan Miragliotta,3, 4:11
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",12,Jose Aldo,Pedro Munhoz,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",11,Vicente Luque,Michael Chiesa,win,loss,Submission,Brabo Choke,Kerry Hatley,1,03:25
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",10,Tecia Torres,Angela Hill,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",9,Yadong Song,Casey Kenney,win,loss,Decision,Split,Dan Miragliotta,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",8,Rafael Fiziev,Bobby Green,win,loss,Decision,Unanimous,Jacob Montalvo,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",7,Vince Morales,Drako Rodriguez,win,loss,Decision,Unanimous,Jeff Rexroad,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",6,Alonzo Menifield,Ed Herman,win,loss,Decision,Unanimous,Kerry Hatley,3,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",5,Jessica Penne,Karolina Kowalkiewicz,win,loss,Submission,Armbar,Mike Beltran,1,04:32
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",4,Manel Kape,Ode Osbourne,win,loss,KO,Flying Knee and Punches,Jeff Rexroad,1,04:44
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",3,Miles Johns,Anderson dos Santos,win,loss,KO,Punch,Kerry Hatley,3,01:16
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",2,Melissa Gatto,Victoria Leonardo,win,loss,TKO,Arm Injury,Jacob Montalvo,2,05:00
UFC 265 - Lewis vs. Gane,Ultimate Fighting Championship (UFC),2021-08-07,"Toyota Center, Houston, Texas, United States",1,Johnny Munoz Jr.,Jamey Simmons,win,loss,Submission,Rear-Naked Choke,Jeff Rexroad,2,02:35
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",10,Sean Strickland,Uriah Hall,win,loss,Decision,Unanimous, Herb Dean,5, 5:00
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",9,Cheyanne Buys,Gloria de Paula,win,loss,TKO,Head Kick and Punches,Mark Smith,1,01:00
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",8,Jared Gooden,Niklas Stolze,win,loss,KO,Punch,Herb Dean,1,01:08
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",7,Melsik Baghdasaryan,Collin Anglin,win,loss,KO,Head Kick and Punches,Mark Smith,2,01:50
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",6,Jason Witt,Bryan Barberena,win,loss,Decision,Majority,Keith Peterson,3,05:00
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",5,Chris Gruetzemacher,Rafa Garcia,win,loss,Decision,Unanimous,Chris Tognoni,3,05:00
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",4,Danny Chavez,Kai Kamaka III,draw,draw,Draw,Majority,Herb Dean,3,05:00
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",3,Jinh Yu Frey,Ashley Yoder,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",2,Zarrukh Adashev,Ryan Benoit,win,loss,Decision,Unanimous,Mark Smith,3,05:00
UFC on ESPN 28 - Hall vs. Strickland,Ultimate Fighting Championship (UFC),2021-07-31,"UFC Apex, Las Vegas, Nevada, United States",1,Philip Rowe,Orion Cosce,win,loss,TKO,Punches,Chris Tognoni,2,04:21
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",11,T.J. Dillashaw,Cory Sandhagen,win,loss,Decision,Split, Herb Dean,5, 5:00
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",10,Raulian Paiva,Kyler Phillips,win,loss,Decision,Majority,Keith Peterson,3,05:00
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",9,Darren Elkins,Darrick Minner,win,loss,TKO,Punches,Mark Smith,2,03:48
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",8,Maycee Barber,Miranda Maverick,win,loss,Decision,Split,Herb Dean,3,05:00
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",7,Adrian Yanez,Randy Costa,win,loss,TKO,Punches,Chris Tognoni,2,02:11
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",6,Brendan Allen,Punahele Soriano,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",5,Nassourdine Imavov,Ian Heinisch,win,loss,TKO,Punches,Mark Smith,2,03:09
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",4,Mickey Gall,Jordan Williams,win,loss,Submission,Rear-Naked Choke,Herb Dean,1,02:57
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",3,Julio Arce,Andre Ewell,win,loss,TKO,Punches,Chris Tognoni,2,03:45
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",2,Sijara Eubanks,Elise Reed,win,loss,TKO,Punches,Mark Smith,1,03:49
UFC on ESPN 27 - Sandhagen vs. Dillashaw,Ultimate Fighting Championship (UFC),2021-07-24,"UFC Apex, Las Vegas, Nevada, United States",1,Diana Belbita,Hannah Goldy,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",10,Islam Makhachev,Thiago Moises,win,loss,Submission,Rear-Naked Choke, Herb Dean,4, 2:38
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",9,Miesha Tate,Marion Reneau,win,loss,TKO,Punches,Mark Smith,3,01:53
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",8,Mateusz Gamrot,Jeremy Stephens,win,loss,Submission,Kimura,Mike Beltran,1,01:05
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",7,Rodolfo Vieira,Dustin Stoltzfus,win,loss,Submission,Rear-Naked Choke,Herb Dean,3,01:54
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",6,Billy Quarantillo,Gabriel Benitez,win,loss,TKO,Punches,Mark Smith,3,03:40
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",5,Daniel Rodriguez,Preston Parsons,win,loss,TKO,Punches,Mike Beltran,1,03:47
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",4,Amanda Lemos,Montserrat Ruiz,win,loss,TKO,Punches,Chris Tognoni,1,00:35
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",3,Sergey Morozov,Khalid Taha,win,loss,Decision,Unanimous,Herb Dean,3,05:00
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",2,Malcolm Gordon,Francisco Figueiredo,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
UFC on ESPN 26 - Makhachev vs. Moises,Ultimate Fighting Championship (UFC),2021-07-17,"UFC Apex, Las Vegas, Nevada, United States",1,Rodrigo Nascimento,Alan Baudot,win,loss,TKO,Punches,Chris Tognoni,2,01:29
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",12,Dustin Poirier,Conor McGregor,win,loss,TKO,Leg Injury, Herb Dean,1, 5:00
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",11,Gilbert Burns,Stephen Thompson,win,loss,Decision,Unanimous,Marc Goddard,3,05:00
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",10,Tai Tuivasa,Greg Hardy,win,loss,KO,Punches,Mark Smith,1,01:07
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",9,Irene Aldana,Yana Kunitskaya,win,loss,TKO,Punches,Jason Herzog,1,04:35
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",8,Sean O'Malley,Kris Moutinho,win,loss,TKO,Punches,Herb Dean,3,04:33
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",7,Max Griffin,Carlos Condit,win,loss,Decision,Unanimous,Marc Goddard,3,05:00
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",6,Michel Pereira,Niko Price,win,loss,Decision,Unanimous,Mark Smith,3,05:00
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",5,Ilia Topuria,Ryan Hall,win,loss,KO,Punches,Jason Herzog,1,04:47
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",4,Dricus Du Plessis,Trevin Giles,win,loss,KO,Punches,Chris Tognoni,2,01:41
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",3,Jennifer Maia,Jessica Eye,win,loss,Decision,Unanimous,Herb Dean,3,05:00
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",2,Brad Tavares,Omari Akhmedov,win,loss,Decision,Split,Marc Goddard,3,05:00
UFC 264 - Poirier vs. McGregor 3,Ultimate Fighting Championship (UFC),2021-07-10,"T-Mobile Arena, Las Vegas, Nevada, United States",1,Zhalgas Zhumagulov,Jerome Rivera,win,loss,Submission,Guillotine Choke,Chris Tognoni,1,02:02
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",13,Ciryl Gane,Alexander Volkov,win,loss,Decision,Unanimous, Herb Dean,5, 5:00
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",12,Tanner Boser,Ovince St. Preux,win,loss,KO,Punches,Jason Herzog,2,02:31
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",11,Timur Valiev,Raoni Barcelos,win,loss,Decision,Majority,Mike Beltran,3,05:00
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",10,Andre Fili,Daniel Pineda,NC,NC,No Contest,Accidental Eye Poke,Herb Dean,2,00:46
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",9,Tim Means,Nicolas Dalby,win,loss,Decision,Unanimous,Jason Herzog,3,05:00
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",8,Renato Carneiro,Jai Herbert,win,loss,Submission,Rear-Naked Choke,Chris Tognoni,2,04:34
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",7,Kennedy Nzechukwu,Danilo Marques,win,loss,TKO,Punches,Jason Herzog,3,00:20
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",6,Shavkat Rakhmonov,Michel Prazeres,win,loss,Submission,Rear-Naked Choke,Mike Beltran,2,02:10
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",5,Jeremiah Wells,Warlley Alves,win,loss,KO,Punches,Chris Tognoni,2,00:30
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",4,Marcin Prachnio,Isaac Villanueva,win,loss,KO,Body Kick,Herb Dean,2,00:56
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",3,Julia Avila,Julija Stoliarenko,win,loss,Submission,Rear-Naked Choke,Jason Herzog,3,04:19
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",2,Charles Rosa,Justin Jaynes,win,loss,Decision,Split,Mike Beltran,3,05:00
UFC Fight Night 190 - Gane vs. Volkov,Ultimate Fighting Championship (UFC),2021-06-26,"UFC Apex, Las Vegas, Nevada, United States",1,Damir Hadzovic,Yancy Medeiros,win,loss,Decision,Unanimous,Chris Tognoni,3,05:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",12,Chan Sung Jung,Dan Ige,win,loss,Decision,Unanimous, Herb Dean,5, 5:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",11,Sergey Spivak,Alexey Oleynik,win,loss,Decision,Unanimous,Mark Smith,3,05:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",10,Marlon Vera,Davey Grant,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",9,Seung Woo Choi,Julian Erosa,win,loss,KO,Punches,Mark Smith,1,01:37
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",8,Bruno Silva,Wellington Turman,win,loss,KO,Punches,Chris Tognoni,1,04:45
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",7,Matt Brown,Dhiego Lima,win,loss,KO,Punch,Herb Dean,2,03:02
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",6,Nicolae Negumereanu,Aleksa Camur,win,loss,Decision,Split,Mike Beltran,3,05:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",5,Virna Jandiroba,Kanako Murata,win,loss,TKO,Arm Injury,Chris Tognoni,2,05:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",4,Kalinn Williams,Matthew Semelsberger,win,loss,Decision,Unanimous,Herb Dean,3,05:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",3,Josh Parisian,Roque Martinez,win,loss,Decision,Split,Mark Smith,3,05:00
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",2,Ricky Glenn,Joaquim Silva,win,loss,KO,Punches,Mike Beltran,1,00:37
UFC on ESPN 25 - Korean Zombie vs. Ige,Ultimate Fighting Championship (UFC),2021-06-19,"UFC Apex, Las Vegas, Nevada, United States",1,Casey O'Neill,Lara Procopio,win,loss,Submission,Rear-Naked Choke,Chris Tognoni,3,02:54
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",14,Israel Adesanya,Marvin Vettori,win,loss,Decision,Unanimous, Marc Goddard,5, 5:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",13,Brandon Moreno,Deiveson Figueiredo,win,loss,Submission,Rear-Naked Choke,Mike Beltran,3,02:26
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",12,Leon Edwards,Nate Diaz,win,loss,Decision,Unanimous,Herb Dean,5,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",11,Belal Muhammad,Demian Maia,win,loss,Decision,Unanimous,Jason Herzog,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",10,Paul Craig,Jamahal Hill,win,loss,TKO,Elbows and Punches,Al Guinee,1,01:59
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",9,Brad Riddell,Drew Dober,win,loss,Decision,Unanimous,Marc Goddard,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",8,Eryk Anders,Darren Stewart,win,loss,Decision,Unanimous,Jason Herzog,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",7,Lauren Murphy,Joanne Calderwood,win,loss,Decision,Split,Herb Dean,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",6,Movsar Evloev,Hakeem Dawodu,win,loss,Decision,Unanimous,Mike Beltran,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",5,Pannie Kianzad,Alexis Davis,win,loss,Decision,Unanimous,Marc Goddard,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",4,Terrance McKinney,Matt Frevola,win,loss,KO,Punches,Jason Herzog,1,00:07
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",3,Steven Peterson,Chase Hooper,win,loss,Decision,Unanimous,Herb Dean,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",2,Fares Ziam,Luigi Vendramini,win,loss,Decision,Majority,Mike Beltran,3,05:00
UFC 263 - Adesanya vs. Vettori 2,Ultimate Fighting Championship (UFC),2021-06-12,"Gila River Arena, Glendale, Arizona, United States",1,Carlos Felipe,Jake Collier,win,loss,Decision,Split,Al Guinee,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",13,Jairzinho Rozenstruik,Augusto Sakai,win,loss,TKO,Punches, Herb Dean,1, 4:59
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",12,Marcin Tybura,Walt Harris,win,loss,TKO,Punches,Mark Smith,1,04:06
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",11,Roman Dolidze,Laureano Staropoli,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",10,Santiago Ponzinibbio,Miguel Baeza,win,loss,Decision,Unanimous,Herb Dean,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",9,Gregory Rodrigues,Dusko Todorovic,win,loss,Decision,Unanimous,Mark Smith,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",8,Montana De La Rosa,Ariane Lipski,win,loss,TKO,Punches,Keith Peterson,2,04:27
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",7,Ilir Latifi,Tanner Boser,win,loss,Decision,Split,Herb Dean,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",6,Muslim Salikhov,Francisco Trinaldo,win,loss,Decision,Unanimous,Mark Smith,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",5,Kamuela Kirk,Makwan Amirkhani,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",4,Alan Patrick,Mason Jones,NC,NC,No Contest,Accidental Eye Poke,Chris Tognoni,2,02:14
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",3,Manon Fiorot,Tabatha Ricci,win,loss,TKO,Punches,Herb Dean,2,03:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",2,Sean Woodson,Youssef Zalal,win,loss,Decision,Split,Keith Peterson,3,05:00
UFC Fight Night 189 - Rozenstruik vs. Sakai,Ultimate Fighting Championship (UFC),2021-06-05,"UFC Apex, Las Vegas, Nevada, United States",1,Claudio Puelles,Jordan Leavitt,win,loss,Decision,Unanimous,Chris Tognoni,3,05:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",12,Rob Font,Cody Garbrandt,win,loss,Decision,Unanimous, Herb Dean,5, 5:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",11,Carla Esparza,Xiaonan Yan,win,loss,TKO,Punches,Keith Peterson,2,02:58
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",10,Jared Vanderaa,Justin Tafa,win,loss,Decision,Unanimous,Mark Smith,3,05:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",9,Norma Dumont,Felicia Spencer,win,loss,Decision,Split,Chris Tognoni,3,05:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",8,Ricardo Ramos,Bill Algeo,win,loss,Decision,Unanimous,Mark Smith,3,05:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",7,Jack Hermansson,Edmen Shahbazyan,win,loss,Decision,Unanimous,Herb Dean,3,05:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",6,Ben Rothwell,Chris Barnett,win,loss,Submission,Guillotine Choke,Mark Smith,2,02:07
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",5,Court McGee,Claudio Silva,win,loss,Decision,Unanimous,Keith Peterson,3,05:00
UFC Fight Night 188 - Font vs. Garbrandt,Ultimate Fighting Championship (UFC),2021-05-22,"UFC Apex, Las Vegas, Nevada, United States",4,Bruno Silva,Victor Rodriguez,win,loss,KO,Punches,Chris Tognoni,1,01:00
