fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other,height(cm),weight(kg),win_percentage,bmi,submission_ratio,ko_ratio,decision_ratio
Cub Swanson,Killer,1983-11-02,37.0,,"Palm Springs, California",United States,5.8,145,Ufc Gym Costa Mesa,Featherweight,27,12,4,11,0,12,2,7,3,0,176.784,65.77083999999999,69.23,21.04,0.15,0.44,0.41
Mike Rodriguez,Slow,1988-11-28,32.0,,"Boston, Massachusetts",United States,6.3,205,Lauzon Mma,Light Heavyweight,11,9,2,0,0,6,1,3,2,0,192.024,92.98636,64.71,25.22,0.18,0.82,0.0
John Schulz,The Machine,,,,"Bay City, Michigan",United States,5.1,155,New Body Health & Fitness,Lightweight,5,2,3,0,0,3,1,2,0,0,155.44799999999998,70.30676,62.5,29.1,0.6,0.4,0.0
Blaine O'Driscoll,,1991-12-31,29.0,,"Dublin, Leinster",Ireland,5.6,125,Sbg Ireland,Flyweight,9,3,4,2,0,4,1,1,2,0,170.688,56.699,69.23,19.46,0.44,0.33,0.22
Steven Graham,,,,,"Fayettsville, North Carolina",United States,6.1,290,None,Super Heavyweight,2,0,2,0,0,1,1,0,0,0,185.928,131.54167999999999,66.67,38.05,1.0,0.0,0.0
Robert Sullivan,Wreck-It Rob,1983-08-14,37.0,,"Parkville, Maryland",United States,5.6,142,Baltimore Bjj,Featherweight,7,0,1,6,0,9,1,1,7,0,170.688,64.410064,43.75,22.11,0.14,0.0,0.86
Ulysses Gomez,Useless,1983-05-25,38.0,,"Las Vegas, Nevada",United States,5.5,125,Marc Laimon'S Cobra Kai,Flyweight,9,0,7,2,0,5,1,1,3,0,167.64000000000001,56.699,64.29,20.18,0.78,0.0,0.22
Eric Huggins,,,,,"Bakersfield, California",United States,6.0,185,Bakersfield Elite Martial Arts,Middleweight,1,1,0,0,0,1,0,1,0,0,182.88,83.91452,50.0,25.09,0.0,1.0,0.0
Christ Franck,The Beast,1982-09-18,38.0,,"Montreal, Quebec",Canada,6.0,170,Champion'S Creed Mma,Welterweight,6,3,0,3,0,6,3,0,3,0,182.88,77.11064,50.0,23.06,0.0,0.5,0.5
Nurul Fikri,,,,,,Indonesia,5.6,145,Gracie Barra,Featherweight,3,0,2,1,0,5,1,1,3,0,170.688,65.77083999999999,37.5,22.57,0.67,0.0,0.33
Grant Dawson,Kgd,1994-02-20,27.0,,"Stromsburg, Nebraska",United States,5.1,155,Glory Mma & Fitness,Lightweight,17,4,11,2,0,1,1,0,0,0,155.44799999999998,70.30676,94.44,29.1,0.65,0.24,0.12
James Esposito,,,,,Illinios,United States,0.0,145,None,Featherweight,0,0,0,0,0,3,1,2,0,0,0.0,65.77083999999999,0.0,inf,,,
Jeb Chiles,,1979-06-15,42.0,,"Clinton, Missouri",United States,6.0,184,K2L Grindhouse,Middleweight,8,1,6,1,0,2,1,1,0,0,182.88,83.460928,80.0,24.95,0.75,0.12,0.12
Marvin Maldonado,The Bulldog,,,,"Latham, New York",United States,5.6,135,Renzo Gracie Training Facility,Bantamweight,2,1,1,0,0,5,1,0,4,0,170.688,61.23492,28.57,21.02,0.5,0.5,0.0
Neil Seery,2 Tap,1979-08-30,41.0,,"Dublin, Leinster",Ireland,5.6,125,Team Ryano Mma,Flyweight,16,6,6,4,0,12,1,6,5,0,170.688,56.699,57.14,19.46,0.38,0.38,0.25
Aleksandra Albu,Stitch,1990-07-14,31.0,,Moscow,Russia,5.2,115,Red Fury Fight Team,Strawweight,3,1,1,1,0,2,0,1,1,0,158.496,52.16308,60.0,20.76,0.33,0.33,0.33
Antonio Carvalho,Pato,1979-05-30,42.0,,"Toronto, Ontario",Canada,5.8,145,Bruckmann Martial Arts,Featherweight,15,7,3,5,0,6,3,0,3,0,176.784,65.77083999999999,71.43,21.04,0.2,0.47,0.33
Claire Lopez,,1988-11-04,32.0,,,France,5.4,115,Great Britain Top Team,Strawweight,4,2,2,0,0,3,0,3,0,0,164.592,52.16308,57.14,19.26,0.5,0.5,0.0
Tim Bazer,Timmy B,1976-10-11,44.0,,"Omaha, Nebraska",United States,5.11,166,Team Bazer,Welterweight,14,4,8,2,0,19,2,10,7,0,155.7528,75.296272,42.42,31.04,0.57,0.29,0.14
Blair Tugman,The Bull Shark,,,,"North Haven, Connecticut",United States,5.7,135,Calandrelli Brazilian Jiu-Jitsu,Bantamweight,11,0,4,7,0,7,0,2,5,0,173.73600000000002,61.23492,61.11,20.29,0.36,0.0,0.64
Thiago De Oliveira Perpetuo,Bodao,1986-12-14,34.0,,"Santo Andre, Sao Paulo",Brazil,5.1,170,Furacao Fight Team,Welterweight,9,7,1,1,0,4,2,2,0,0,155.44799999999998,77.11064,69.23,31.91,0.11,0.78,0.11
Darrell Montague,The Mongoose,1987-11-03,33.0,,"Chino, California",United States,5.6,125,Millennia Mma,Flyweight,13,5,5,3,0,5,3,1,1,0,170.688,56.699,72.22,19.46,0.38,0.38,0.23
Rob Kimmons,The Rosedale Reaper,1981-01-30,40.0,,"Liberty, Missouri",United States,5.1,170,K2L Grindhouse,Welterweight,25,5,16,4,0,9,4,3,2,0,155.44799999999998,77.11064,73.53,31.91,0.64,0.2,0.16
Pedro Nobre,The Rock,1986-02-13,35.0,,"Rio De Janeiro, Rio De Janeiro",Brazil,5.5,125,Brazilian Top Team,Flyweight,21,12,5,4,0,6,2,1,3,0,167.64000000000001,56.699,77.78,20.18,0.24,0.57,0.19
Rich Hale,Rare Breed,1985-05-17,36.0,,"Tempe, Arizona",United States,6.4,240,Koncrete Gym,Heavyweight,23,11,8,4,0,7,3,0,4,0,195.072,108.86207999999999,76.67,28.61,0.35,0.48,0.17
Sky Moiseichik,El Chivo Loco,1978-07-11,43.0,,"St. Petersburg, Florida",United States,5.1,138,American Top Team Miramar,Featherweight,7,1,3,3,0,7,2,2,3,0,155.44799999999998,62.595696,50.0,25.9,0.43,0.14,0.43
Mariya Agapova,,1997-04-07,24.0,,"Pavlodar, Pavlodar",Kazakhstan,5.6,125,American Top Team,Flyweight,9,3,4,2,0,2,1,0,1,0,170.688,56.699,81.82,19.46,0.44,0.33,0.22
Alejandro Perez,Turbo,1989-09-02,31.0,,Estado De Mexico,Mexico,5.6,135,American Kickboxing Academy,Bantamweight,21,9,5,7,0,8,2,3,3,0,170.688,61.23492,72.41,21.02,0.24,0.43,0.33
David Conte,,1985-07-08,36.0,,,United States,0.0,145,None,Featherweight,0,0,0,0,0,1,0,1,0,0,0.0,65.77083999999999,0.0,inf,,,
Fabacary Diatta,,1996-10-16,24.0,,Aubervilliers,France,5.9,145,Atch Academy,Featherweight,7,2,1,4,0,0,0,0,0,0,179.83200000000002,65.77083999999999,100.0,20.34,0.14,0.29,0.57
Davin Clark,Relentless,1982-01-11,39.0,,"San Jose, California",United States,6.2,185,American Kickboxing Academy,Middleweight,6,2,1,3,0,3,1,2,0,0,188.976,83.91452,66.67,23.5,0.17,0.33,0.5
Janay Harding,Hollowpoint,1994-09-28,26.0,,"Gold Coast, Queensland",Australia,5.1,145,None,Featherweight,6,4,0,2,0,6,2,1,3,0,155.44799999999998,65.77083999999999,50.0,27.22,0.0,0.67,0.33
Kotetsu Boku,No Face,1977-05-27,44.0,,Shizuoka,Japan,5.9,145,Krazy Bee,Featherweight,26,13,1,12,0,16,3,6,7,0,179.83200000000002,65.77083999999999,61.9,20.34,0.04,0.5,0.46
Boris Novachkov,,1989-11-29,31.0,,Sofia,Bulgaria,5.7,145,None,Featherweight,0,0,0,0,0,1,0,0,1,0,173.73600000000002,65.77083999999999,0.0,21.79,,,
Anthony Giacchina,,,,,"Selden, New York",United States,0.0,160,None,Welterweight,2,0,1,1,0,2,1,1,0,0,0.0,72.57472,50.0,inf,0.5,0.0,0.5
