fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other,height(cm),weight(kg),win_percentage,bmi,submission_ratio,ko_ratio,decision_ratio
Patrick Holohan,The Hooligan,1988-05-03,33.0,,Dublin,Ireland,5.9,125,Sbg Ireland,Flyweight,12,1,8,3,0,2,0,1,1,0,179.83200000000002,56.699,85.71,17.53,0.67,0.08,0.25
Roscoe Jackson,,,,,"Yuma, Arizona",United States,5.11,158,None,Welterweight,1,0,1,0,0,5,4,1,0,0,155.7528,71.667536,16.67,29.54,1.0,0.0,0.0
Larissa Pacheco,,1994-09-07,26.0,,"Belem, Para",Brazil,5.8,145,Tata Fight Team,Featherweight,15,6,8,1,0,4,1,1,2,0,176.784,65.77083999999999,78.95,21.04,0.53,0.4,0.07
Derek Arcement,,,,,"Carriere, Louisiana",United States,5.1,145,Gold Dragon Mma,Featherweight,3,0,2,1,0,4,1,1,2,0,155.44799999999998,65.77083999999999,42.86,27.22,0.67,0.0,0.33
Shad Lierley,,,,,"Seattle, Washington",United States,5.7,144,Freelance,Featherweight,5,1,2,2,0,3,1,1,1,0,173.73600000000002,65.317248,62.5,21.64,0.4,0.2,0.4
Chris Dempsey,,1987-09-08,33.0,,"Johnstown, Pennsylvania",United States,5.1,185,Cold Steel Mma,Middleweight,11,2,3,6,0,6,5,1,0,0,155.44799999999998,83.91452,64.71,34.73,0.27,0.18,0.55
Carlos Alexandre Pereira,Indio,1979-04-04,42.0,,"Natal, Rio Grande Do Norte",Brazil,6.0,170,Dragon Fight,Welterweight,34,20,9,5,0,12,5,4,3,0,182.88,77.11064,73.91,23.06,0.26,0.59,0.15
Chris Barnett,Huggy Bear / Beastboy,1986-06-14,35.0,,"Tampa, Florida",United States,5.9,263,Xfc,Heavyweight,21,16,0,5,0,7,3,1,3,0,179.83200000000002,119.294696,75.0,36.89,0.0,0.76,0.24
Marc Charles Grayson,The Gyrocopter,1988-09-29,32.0,,"Maitland, New South Wales",Australia,0.0,185,Gyro Jiu Jitsu,Middleweight,2,0,2,0,0,0,0,0,0,0,0.0,83.91452,100.0,inf,1.0,0.0,0.0
Rodolfo Rubio,Fito,1987-01-29,34.0,,"Mexico City, Federal District",Mexico,5.5,145,Entram Gym,Featherweight,17,4,12,1,0,11,4,1,6,0,167.64000000000001,65.77083999999999,60.71,23.4,0.71,0.24,0.06
Shawn Teed,The Norwegian Nightmare,1992-02-13,29.0,,"Willingboro, New Jersey",United States,6.5,248,Ricardo Almeida Jiu-Jitsu,Heavyweight,6,2,4,0,0,3,3,0,0,0,198.12,112.490816,66.67,28.66,0.67,0.33,0.0
A.J. Williams,Black Dynamite,1986-07-11,35.0,,"Las Vegas, Nevada",United States,6.0,155,Syndicate Mma,Lightweight,1,1,0,0,0,2,1,0,1,0,182.88,70.30676,33.33,21.02,0.0,1.0,0.0
Antonio Rodrigo Nogueira,Minotauro,1976-06-02,45.0,,"Vitoria Da Conquista, Bahia",Brazil,6.3,240,Team Nogueira,Heavyweight,34,3,21,10,0,10,3,2,5,0,192.024,108.86207999999999,77.27,29.52,0.62,0.09,0.29
Danny Kingad,The King,1995-09-28,25.0,,"La Trinidad, Benguet",Philippines,5.5,135,Team Lakay,Bantamweight,14,1,2,11,0,2,0,1,1,0,167.64000000000001,61.23492,87.5,21.79,0.14,0.07,0.79
Daniel Madrid,Demigod,1984-04-24,37.0,,"Phoenix, Arizona",United States,6.3,185,Grace Fighting Systems,Middleweight,18,1,15,1,1,8,4,2,1,1,192.024,83.91452,69.23,22.76,0.83,0.06,0.06
Jamil Ibragimov,,,,,Siegen,Germany,0.0,185,None,Middleweight,2,2,0,0,0,1,0,0,1,0,0.0,83.91452,66.67,inf,0.0,1.0,0.0
Florian Garel,,,,,,France,5.7,145,Taiwan Top Team,Featherweight,2,0,1,1,0,5,1,4,0,0,173.73600000000002,65.77083999999999,28.57,21.79,0.5,0.0,0.5
Josema Jose Da Paz,Jorge Kanella,1987-01-15,34.0,,"Nazare Da Mata, Pernambuco",Brazil,5.9,145,Noguchi Team,Featherweight,8,4,3,1,0,8,1,4,3,0,179.83200000000002,65.77083999999999,50.0,20.34,0.38,0.5,0.12
Jesse Erickson,The Viking,,,,"Auburn, Maine",United States,5.11,155,Central Maine Bjj,Lightweight,11,3,8,0,0,8,6,2,0,0,155.7528,70.30676,57.89,28.98,0.73,0.27,0.0
Wu  Ting Shen,,1995-05-08,26.0,,,China,5.6,145,Shanghai Wrestling Club,Featherweight,0,0,0,0,0,1,0,1,0,0,170.688,65.77083999999999,0.0,22.57,,,
Jake Smith,The Half-Black Attack,,,,"Anaheim, California",United States,5.9,170,American Top Team Portland,Welterweight,7,5,0,2,0,4,1,2,1,0,179.83200000000002,77.11064,63.64,23.84,0.0,0.71,0.29
Chris Indich,,1987-04-22,34.0,,"Perth, Western Australia",Australia,5.1,170,The Arena Mma,Welterweight,6,3,2,0,1,5,2,0,2,1,155.44799999999998,77.11064,54.55,31.91,0.33,0.5,0.0
Mike Bannon,The Irish Cannon,1982-12-21,38.0,,"Milford, Pennsylvania",United States,5.9,155,Tri-State Mma,Lightweight,5,0,5,0,0,2,1,0,1,0,179.83200000000002,70.30676,71.43,21.74,1.0,0.0,0.0
Paul Redmond,Redser,1986-10-20,34.0,,"Dublin, Leinster",Ireland,5.1,155,Team Ryano Mma,Lightweight,15,5,5,5,0,9,3,4,2,0,155.44799999999998,70.30676,62.5,29.1,0.33,0.33,0.33
Tom Duquesnoy,Fire Kid,1993-06-21,28.0,,Paris,France,5.7,135,Jackson-Wink Mma,Bantamweight,16,8,4,4,0,2,0,1,1,0,173.73600000000002,61.23492,88.89,20.29,0.25,0.5,0.25
James Mcerlean,,,,,"Bellaghy, Londonderry",Ireland,0.0,135,Young Spartans Fight Club,Bantamweight,7,0,5,2,0,5,0,0,5,0,0.0,61.23492,58.33,inf,0.71,0.0,0.29
Brandon Royval,Raw Dawg,1992-08-16,28.0,,"Englewood, Colorado",United States,5.7,125,Factory X,Flyweight,12,3,8,1,0,5,1,0,4,0,173.73600000000002,56.699,70.59,18.78,0.67,0.25,0.08
Josh Grispi,The Fluke,1988-10-14,32.0,,"Rockland, Massachusetts",United States,5.11,146,South Shore Sport Fighting,Featherweight,14,6,7,1,0,5,1,2,2,0,155.7528,66.224432,73.68,27.3,0.5,0.43,0.07
Te Edwards,T,1990-09-11,30.0,,"Phoenix, Arizona",United States,5.8,155,Mma Lab,Lightweight,6,6,0,0,0,3,1,0,2,0,176.784,70.30676,66.67,22.5,0.0,1.0,0.0
Andy Manzolo,Predator,1984-08-09,37.0,,,Estonia,5.11,185,Phoenix Mma,Middleweight,23,4,16,3,0,9,4,3,2,0,155.7528,83.91452,71.88,34.59,0.7,0.17,0.13
Colin Robinson,Big C,1968-11-27,52.0,,Ballymena,Northern Ireland,6.4,243,None,Heavyweight,10,6,3,1,0,12,5,5,2,0,195.072,110.222856,45.45,28.97,0.3,0.6,0.1
Yuri Vaulin,,1963-09-13,57.0,,Riga,Latvia,6.4,207,None,Heavyweight,0,0,0,0,0,1,0,0,1,0,195.072,93.893544,0.0,24.67,,,
Alex Oliveira,Cowboy,1988-02-21,33.0,,"Tres Rios, Rio De Janeiro",Brazil,5.11,170,Ats Team Tres Rios,Welterweight,22,12,5,5,0,10,1,6,3,0,155.7528,77.11064,68.75,31.79,0.23,0.55,0.23
Pardeep Kumar,,,,,,India,0.0,170,None,Welterweight,0,0,0,0,0,2,0,2,0,0,0.0,77.11064,0.0,inf,,,
Antonio Duarte,Tigre,,,,"Tijuana, Baja California",Mexico,5.7,135,Entram Gym,Bantamweight,25,5,14,6,0,7,4,2,1,0,173.73600000000002,61.23492,78.12,20.29,0.56,0.2,0.24
Mike Ricci,The Accountant,1986-03-18,35.0,,"Montreal, Quebec",Canada,6.0,155,Tristar Gym,Lightweight,11,6,1,4,0,5,2,0,3,0,182.88,70.30676,68.75,21.02,0.09,0.55,0.36
Vince Murdock,,1991-03-21,30.0,,"Lapeer, Michigan",United States,5.7,143,Team Alpha Male,Featherweight,11,8,1,2,0,6,4,1,1,0,173.73600000000002,64.863656,64.71,21.49,0.09,0.73,0.18
Victoria Leonardo,Fury,1990-02-16,31.0,,"Shreveport, Louisiana",United States,5.5,125,Elite Combat Academy,Flyweight,8,1,4,3,0,4,3,1,0,0,167.64000000000001,56.699,66.67,20.18,0.5,0.12,0.38
Martin Brown,Smash,1984-08-17,36.0,,"Vicksburg, Mississippi",United States,5.1,155,Shift Mma,Lightweight,14,5,2,7,0,5,1,1,3,0,155.44799999999998,70.30676,73.68,29.1,0.14,0.36,0.5
Karina Hallinan,,,,,"Albuquerque, New Mexico",United States,5.6,125,None,Flyweight,3,1,1,1,0,5,0,3,2,0,170.688,56.699,37.5,19.46,0.33,0.33,0.33
John Douma,,1996-08-10,25.0,,"Providence, Rhode Island",United States,5.9,135,Tri-Force Mma,Bantamweight,5,2,2,1,0,2,1,0,1,0,179.83200000000002,61.23492,71.43,18.93,0.4,0.4,0.2
Costas Philippou,,1979-11-29,41.0,,"Merrick, New York",United States,5.11,185,Bellmore Kickboxing Academy,Middleweight,13,7,1,5,0,5,1,0,4,0,155.7528,83.91452,72.22,34.59,0.08,0.54,0.38
Jesse Bongfeldt,Water,1980-08-28,40.0,,"Kenora, Ontario",Canada,6.0,185,Canadian Martial Arts Centre,Middleweight,17,7,10,0,0,5,2,3,0,0,182.88,83.91452,77.27,25.09,0.59,0.41,0.0
Milad Ahady,The Baddy,,,,"South Shields, Tyne And Wear",England,0.0,155,South Shields Fighting Fit,Lightweight,2,0,1,1,0,1,1,0,0,0,0.0,70.30676,66.67,inf,0.5,0.0,0.5
Aaron Roberson,,1990-03-16,31.0,,"Miami, Oklahoma",United States,5.1,146,None,Featherweight,10,2,7,1,0,9,1,6,2,0,155.44799999999998,66.224432,52.63,27.41,0.7,0.2,0.1
Rory Markham,,1982-03-25,39.0,,"Bettendorf, Iowa",United States,6.0,177,Miletich Martial Arts,Middleweight,17,12,5,0,0,6,6,0,0,0,182.88,80.28578399999999,73.91,24.01,0.29,0.71,0.0
Daniel Straus,,1984-07-27,37.0,,"Cincinnati, Ohio",United States,5.8,145,Sanford Mma,Featherweight,26,7,4,15,0,9,2,5,2,0,176.784,65.77083999999999,74.29,21.04,0.15,0.27,0.58
Anvar  Alizhanov,,1989-02-04,32.0,,Republic Of Dagestan,Russia,5.9,145,Aka Thailand,Featherweight,9,5,2,2,0,2,0,1,1,0,179.83200000000002,65.77083999999999,81.82,20.34,0.22,0.56,0.22
Jamey Simmons,The Afro Samurai,1992-09-11,28.0,,"Milwaukee, Wisconsin",United States,5.5,135,Pura Vida Bjj,Bantamweight,7,4,1,2,0,4,2,2,0,0,167.64000000000001,61.23492,63.64,21.79,0.14,0.57,0.29
Carlos Ulberg,Black Jag,1990-11-17,30.0,,Auckland,New Zealand,6.4,205,City Kickboxing,Light Heavyweight,3,2,0,1,0,1,1,0,0,0,195.072,92.98636,75.0,24.44,0.0,0.67,0.33
Estevan Payan,El Terrible,1982-04-03,39.0,,"Tempe, Arizona",United States,5.1,148,Arizona Combat Sports,Lightweight,17,7,3,7,0,14,8,1,5,0,155.44799999999998,67.131616,54.84,27.78,0.18,0.41,0.41
Roy Nelson,Big Country,1976-06-20,45.0,,"Las Vegas, Nevada",United States,6.0,249,Country Club,Heavyweight,23,15,4,4,0,19,3,0,16,0,182.88,112.944408,54.76,33.77,0.17,0.65,0.17
Eric Olsen,Bloodaxe,,,,New York,United States,0.0,185,East West Mma,Middleweight,1,1,0,0,0,4,3,1,0,0,0.0,83.91452,20.0,inf,0.0,1.0,0.0
Charles Byrd,Kid Dynamite,1983-10-11,37.0,,"Plano, Texas",United States,5.1,185,Fortis Mma,Middleweight,10,3,5,2,0,6,3,2,1,0,155.44799999999998,83.91452,62.5,34.73,0.5,0.3,0.2
Dan Miller,,1981-06-30,40.0,,"Sparta, New Jersey",United States,6.1,185,Miller Brothers Mma,Middleweight,14,1,9,4,0,8,1,0,7,0,185.928,83.91452,63.64,24.27,0.64,0.07,0.29
Julien Williams,J-Smoove,1982-10-06,38.0,,"Orlando, Florida",United States,6.0,170,Fusion X-Cel Performance,Welterweight,11,1,9,1,0,1,1,0,0,0,182.88,77.11064,91.67,23.06,0.82,0.09,0.09
Rashad Evans,Suga,1979-09-25,41.0,,"Niagara Falls, New York",United States,5.11,205,Sanford Mma,Light Heavyweight,19,8,1,10,0,8,3,0,5,0,155.7528,92.98636,70.37,38.33,0.05,0.42,0.53
Rafael Cavalcante,Feijao,1980-04-04,41.0,,"Ilha Solteira, Sao Paulo",Brazil,6.0,205,Team Nogueira,Light Heavyweight,13,13,0,0,0,6,4,0,2,0,182.88,92.98636,68.42,27.8,0.0,1.0,0.0
Alain Ngalani,The Panther,1975-07-07,46.0,,,Cameroon,5.11,229,Impakt Hong Kong,Heavyweight,4,3,0,1,0,6,5,1,0,0,155.7528,103.872568,40.0,42.82,0.0,0.75,0.25
Geraldo De Freitas Jr.,The Spartan,1991-09-30,29.0,,"Conselheiro Lafaiete, Minas Gerais",Brazil,5.9,135,Nova Uniao,Bantamweight,13,4,6,3,0,6,0,0,6,0,179.83200000000002,61.23492,68.42,18.93,0.46,0.31,0.23
Patricio Freire,Pitbull,1987-07-07,34.0,,"Natal, Rio Grande Do Norte",Brazil,5.6,145,Pitbull Brothers,Featherweight,32,11,12,9,0,5,1,1,3,0,170.688,65.77083999999999,86.49,22.57,0.38,0.34,0.28
Roman Faraldo,,1993-05-15,28.0,,"Tallahassee, Florida",United States,6.1,170,American Top Team,Welterweight,5,5,0,0,0,0,0,0,0,0,185.928,77.11064,100.0,22.31,0.0,1.0,0.0
Tracy Willis,,1971-08-16,49.0,,"Tulsa, Oklahoma",United States,6.2,226,None,Heavyweight,11,7,4,0,0,22,8,13,1,0,188.976,102.511792,33.33,28.71,0.36,0.64,0.0
Guntur Guntur,,,,,,Indonesia,0.0,125,None,Flyweight,0,0,0,0,0,1,0,1,0,0,0.0,56.699,0.0,inf,,,
Ed Herman,Short Fuse,1980-10-02,40.0,,"Portland, Oregon",United States,6.2,205,American Top Team Portland,Light Heavyweight,26,7,14,5,0,15,3,6,6,0,188.976,92.98636,63.41,26.04,0.54,0.27,0.19
Jason Powell,The Gentleman,1993-04-07,28.0,,"Paradise, California",United States,5.1,155,Standalone Mma,Lightweight,3,1,1,1,0,1,0,1,0,0,155.44799999999998,70.30676,75.0,29.1,0.33,0.33,0.33
Gadzhimurad Antigulov,,1987-01-01,34.0,,"Makhachkala, Dagestan",Russia,5.11,205,American Top Team,Light Heavyweight,20,4,15,1,0,8,5,3,0,0,155.7528,92.98636,71.43,38.33,0.75,0.2,0.05
Josh Bryant,The Beast,1980-04-23,41.0,,"Broken Arrow, Oklahoma",United States,6.0,185,Absolute Combat Alliance,Middleweight,15,4,6,5,0,4,1,0,3,0,182.88,83.91452,78.95,25.09,0.4,0.27,0.33
Adriano Martins,,1982-12-16,38.0,,"Manaus, Amazonas",Brazil,5.1,154,Top Life Amazonas,Lightweight,28,13,3,12,0,11,3,0,8,0,155.44799999999998,69.853168,71.79,28.91,0.11,0.46,0.43
Chad Hinton,,1971-06-14,50.0,,"Cincinnati, Ohio",United States,5.8,158,Cincy Mma,Welterweight,9,3,4,2,0,4,0,2,2,0,176.784,71.667536,69.23,22.93,0.44,0.33,0.22
Vy  Srey Khouch,,,,,,Cambodia,0.0,115,None,Strawweight,2,1,0,1,0,2,1,1,0,0,0.0,52.16308,50.0,inf,0.0,0.5,0.5
Ivan Cole,J.P.,1990-11-30,,2016-06-11,"New Orleans, Louisiana",United States,5.9,135,None,Bantamweight,2,1,0,1,0,3,0,1,2,0,179.83200000000002,61.23492,40.0,18.93,0.0,0.5,0.5
William Kuhn,Slim Reaper,1980-10-13,40.0,,"Mcdonough, Georgia",United States,6.0,170,X3 Sports,Welterweight,12,3,6,3,0,10,0,1,9,0,182.88,77.11064,54.55,23.06,0.5,0.25,0.25
Lowen Tynanes,,1990-10-21,30.0,,"Ewa Beach, Hawaii",United States,5.1,155,Hawaii Elite Mma,Lightweight,10,3,4,3,0,1,0,0,1,0,155.44799999999998,70.30676,90.91,29.1,0.4,0.3,0.3
Hongjiang Li,The Diamond,,,,,China,5.7,145,A.256 Super Evolution Team,Featherweight,2,1,0,1,0,4,0,2,2,0,173.73600000000002,65.77083999999999,33.33,21.79,0.0,0.5,0.5
Tyrell Fortune,,1990-07-04,31.0,,"Portland, Oregon",United States,6.2,249,Arizona Combat Sports,Heavyweight,11,7,1,3,0,1,1,0,0,0,188.976,112.944408,91.67,31.63,0.09,0.64,0.27
Jordan Dowdy,,1986-05-23,35.0,,"Collinsville, Illinois",United States,6.1,185,The Hit Squad,Middleweight,9,4,4,1,0,5,1,4,0,0,185.928,83.91452,64.29,24.27,0.44,0.44,0.11
Mike De La Vega,,,,,"Skokie, Illinois",United States,0.0,155,None,Lightweight,4,0,1,3,0,4,1,3,0,0,0.0,70.30676,50.0,inf,0.25,0.0,0.75
Ross Pearson,The Real Deal,1984-09-26,36.0,,"Sunderland, Tyne And Wear",England,5.8,155,Central Coast Mma,Lightweight,20,7,5,8,0,17,6,2,9,0,176.784,70.30676,54.05,22.5,0.25,0.35,0.4
Ben Alloway,Benny Blanco,1981-02-19,40.0,,"Gold Coast, Queensland",Australia,5.1,170,Bba Mixed Martial Arts,Welterweight,18,8,6,4,0,9,2,5,2,0,155.44799999999998,77.11064,66.67,31.91,0.33,0.44,0.22
Puja Tomar,The Cyclone,,,,,India,4.9,110,None,Strawweight,4,3,0,1,0,4,1,3,0,0,149.352,49.89512,50.0,22.37,0.0,0.75,0.25
Dave Berry,,,,,"Laconia, New Hampshire",United States,0.0,0,None,,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,,,,
Kyle Nelson,The Monster,1991-04-20,30.0,,"Huntsville, Ontario",Canada,5.11,145,House Of Champions Mma,Featherweight,13,5,4,4,0,4,2,1,1,0,155.7528,65.77083999999999,76.47,27.11,0.31,0.38,0.31
Randy Couture,The Natural,1963-06-22,58.0,,"Corvallis, Oregon",United States,6.1,203,Xtreme Couture,Light Heavyweight,19,7,4,8,0,11,7,3,1,0,185.928,92.079176,63.33,26.64,0.21,0.37,0.42
Garreth Mclellan,Soldier Boy,1982-01-09,39.0,,"Johannesburg, Gauteng",South Africa,6.1,185,Fightfit Militia,Middleweight,13,3,9,1,0,7,4,1,2,0,185.928,83.91452,65.0,24.27,0.69,0.23,0.08
Lisa Ellis,,1982-11-15,38.0,,"Olympia, Washington",United States,5.4,110,United Training Center,Strawweight,15,0,11,4,0,11,1,8,2,0,164.592,49.89512,57.69,18.42,0.73,0.0,0.27
Or Eliov,,,,,Bat Yam,Israel,0.0,145,None,Featherweight,0,0,0,0,0,1,0,1,0,0,0.0,65.77083999999999,0.0,inf,,,
Matt Van Buren,Gutter,1986-06-12,35.0,,"Norfolk, Virginia",United States,6.5,205,Team Gutter,Light Heavyweight,7,2,2,3,0,6,4,1,1,0,198.12,92.98636,53.85,23.69,0.29,0.29,0.43
Paul Creighton,,1970-04-07,51.0,,"Suwanee, Georgia",United States,5.6,155,Creighton Mma,Lightweight,3,0,2,1,0,1,1,0,0,0,170.688,70.30676,75.0,24.13,0.67,0.0,0.33
Joshua Smith,,,,,,United States,0.0,185,None,Middleweight,2,1,0,1,0,2,1,0,1,0,0.0,83.91452,50.0,inf,0.0,0.5,0.5
Feilong  Cai,,1995-02-04,26.0,,Qingdao,China,5.8,145,Xin Jiang International Fight Club,Featherweight,0,0,0,0,0,2,1,1,0,0,176.784,65.77083999999999,0.0,21.04,,,
Murugan Silvarajoo,Wolverine,1991-05-06,30.0,,"Kuala Lumpur, Wilayah Persekutuan",Malaysia,5.5,132,Muayfit,Bantamweight,3,0,2,1,0,2,0,1,1,0,167.64000000000001,59.874144,60.0,21.31,0.67,0.0,0.33
Rayane Marques Bastos,,,,,"Castanhal, Para",Brazil,0.0,125,Team Jb,Flyweight,4,0,2,2,0,1,0,1,0,0,0.0,56.699,80.0,inf,0.5,0.0,0.5
Kurt Holobaugh,,1986-09-08,34.0,,"Denham Springs, Louisiana",United States,5.11,145,Gracie United,Featherweight,19,7,9,3,0,7,1,1,5,0,155.7528,65.77083999999999,73.08,27.11,0.47,0.37,0.16
Toby Imada,,1978-07-16,43.0,,"Los Angeles, California",United States,5.8,145,Victory Mma,Featherweight,30,9,19,2,0,18,4,6,8,0,176.784,65.77083999999999,62.5,21.04,0.63,0.3,0.07
Justin Houghton,J-Ho,,,,"Eaton Rapids, Michigan",United States,5.1,145,Grudge Training Center,Featherweight,4,3,0,0,1,3,0,0,2,1,155.44799999999998,65.77083999999999,57.14,27.22,0.0,0.75,0.0
Mike Hamel,Magic,1992-08-12,28.0,,"Gilbert, Arizona",United States,5.7,145,Mma Lab,Featherweight,7,3,0,4,0,4,1,1,2,0,173.73600000000002,65.77083999999999,63.64,21.79,0.0,0.43,0.57
Will Florentino,Furious,,,,"Keller, Texas",United States,6.3,170,None,Welterweight,5,0,4,1,0,5,0,1,4,0,192.024,77.11064,50.0,20.91,0.8,0.0,0.2
Rustam Khabilov,Tiger,1986-11-04,34.0,,"Makhachkala, Republic Of Dagestan",Russia,5.8,155,Jackson-Wink Mma,Lightweight,24,4,5,15,0,4,0,1,3,0,176.784,70.30676,85.71,22.5,0.21,0.17,0.62
Peter Queally,The Showstopper,1989-02-19,32.0,,Dublin,Ireland,5.11,155,Sbg Ireland,Lightweight,13,3,0,10,0,5,0,0,5,0,155.7528,70.30676,72.22,28.98,0.0,0.23,0.77
Demarques Jackson,Scrap Iron,1990-08-22,30.0,,"Lithonia, Georgia",United States,5.8,155,Sanford Mma,Lightweight,11,2,5,4,0,6,3,0,3,0,176.784,70.30676,64.71,22.5,0.45,0.18,0.36
Cody Walker,The Crow,1988-01-15,33.0,,"Plano, Texas",United States,6.1,150,Subfighter Mma,Lightweight,9,5,4,0,0,7,2,2,3,0,185.928,68.0388,56.25,19.68,0.44,0.56,0.0
Ross Pointon,The Gladiator,1978-02-18,43.0,,"Stoke-On-Trent, Staffordshire",England,5.8,170,None,Welterweight,6,2,4,0,0,17,8,8,1,0,176.784,77.11064,26.09,24.67,0.67,0.33,0.0
Joel Bauman,King Bau,1991-06-13,30.0,,"Kerkhoven, Minnesota",United States,6.2,200,Spartan Mma,Light Heavyweight,5,2,0,3,0,1,0,1,0,0,188.976,90.7184,83.33,25.4,0.0,0.4,0.6
Aziz Pahrudinov,,1989-06-28,32.0,,"Buynaksk, Dagestan",Russia,5.1,155,K Dojo Warrior Tribe,Lightweight,22,7,14,1,0,1,0,0,1,0,155.44799999999998,70.30676,95.65,29.1,0.64,0.32,0.05
Tulio Quintanilla,,1982-12-23,38.0,,"Miami, Florida",United States,5.8,140,None,Featherweight,6,3,2,1,0,5,1,0,4,0,176.784,63.50288,54.55,20.32,0.33,0.5,0.17
Robert Emerson,The Saint,1981-07-30,40.0,,"Newport Beach, California",United States,5.8,135,Mma Lab,Bantamweight,20,5,7,8,0,15,0,3,12,0,176.784,61.23492,57.14,19.59,0.35,0.25,0.4
Jaimelene Nievera,Queenie,1984-10-28,36.0,,"Union City, California",United States,5.5,125,Dragon House Mma,Flyweight,7,1,4,2,0,5,3,2,0,0,167.64000000000001,56.699,58.33,20.18,0.57,0.14,0.29
Todd Brown,Bulldog,1976-12-13,44.0,,"Mishawaka, Indiana",United States,5.11,185,Bulldog Fight Team,Middleweight,16,6,7,3,0,4,1,0,3,0,155.7528,83.91452,80.0,34.59,0.44,0.38,0.19
Jordan Mein,Young Gun,1989-10-10,31.0,,"Lethbridge, Alberta",Canada,6.0,170,Canadian Martial Arts Centre,Welterweight,31,16,7,8,0,13,3,4,6,0,182.88,77.11064,70.45,23.06,0.23,0.52,0.26
Chris Clements,The Menace,1976-02-09,45.0,,"Chatam, Ontario",Canada,5.1,170,Adrenaline Training Center,Welterweight,12,11,0,1,0,6,2,3,1,0,155.44799999999998,77.11064,66.67,31.91,0.0,0.92,0.08
Sean Holden,Razorback,1984-09-17,36.0,,"Dallas, Texas",United States,5.1,170,Octagon Mma,Welterweight,6,1,1,4,0,3,1,2,0,0,155.44799999999998,77.11064,66.67,31.91,0.17,0.17,0.67
Krishna Lal Tamang,,,,,,Nepal,0.0,145,All Martial Art Academy Chitwan,Featherweight,0,0,0,0,0,1,1,0,0,0,0.0,65.77083999999999,0.0,inf,,,
Scott Jorgensen,Young Guns,1982-09-17,38.0,,"Boise, Idaho",United States,5.5,135,Twisted Genetiks,Bantamweight,15,2,5,8,0,12,2,4,6,0,167.64000000000001,61.23492,55.56,21.79,0.33,0.13,0.53
Ming Qiang Lan,,,,,,China,0.0,115,None,Strawweight,0,0,0,0,0,2,0,1,1,0,0.0,52.16308,0.0,inf,,,
Jake Butler,,,,,"Point Pleasant Beach, New Jersey",United States,6.2,205,Evolve Mma,Light Heavyweight,7,4,1,2,0,3,3,0,0,0,188.976,92.98636,70.0,26.04,0.14,0.57,0.29
Aleksei Butorin,,1986-07-08,35.0,,St. Petersburg,Russia,6.0,205,Tiger Muay Thai,Light Heavyweight,16,15,1,0,0,4,0,3,1,0,182.88,92.98636,80.0,27.8,0.06,0.94,0.0
Tomer Maslis,,,,,,Israel,0.0,170,None,Welterweight,1,1,0,0,0,0,0,0,0,0,0.0,77.11064,100.0,inf,0.0,1.0,0.0
Kai Tang,,,,,,China,5.1,155,Dragon Warrior Shanghai,Lightweight,12,10,0,2,0,2,0,0,2,0,155.44799999999998,70.30676,85.71,29.1,0.0,0.83,0.17
Marcos Rogerio De Lima,Pezao,1985-06-25,36.0,,"Ribeirao Pires, Sao Paulo",Brazil,6.1,265,American Top Team,Heavyweight,18,13,2,3,0,7,1,5,1,0,185.928,120.20188,72.0,34.77,0.11,0.72,0.17
Mahmoud Hassan,Hellboy,1981-01-02,40.0,,Cairo,Egypt,6.2,232,Egyptian Top Team,Heavyweight,1,0,1,0,0,6,4,2,0,0,188.976,105.233344,14.29,29.47,1.0,0.0,0.0
Jessica Andrade,Bate Estaca,1991-09-25,29.0,,"Umuarama, Parana",Brazil,5.2,125,Parana Vale Tudo,Flyweight,21,8,7,6,0,9,4,2,3,0,158.496,56.699,70.0,22.57,0.33,0.38,0.29
Pedro Munhoz,The Young Punisher,1986-09-07,34.0,,"Sao Paulo, Sao Paulo",Brazil,5.6,135,American Top Team,Bantamweight,19,5,8,6,0,6,0,0,6,0,170.688,61.23492,76.0,21.02,0.42,0.26,0.32
Mostapha Al-Turk,,1973-07-14,48.0,,London,England,6.2,235,London Shootfighters,Heavyweight,6,6,0,0,0,6,3,1,2,0,188.976,106.59412,50.0,29.85,0.0,1.0,0.0
Jonathan Wiezorek,Lock And Load,,,,"Valdosta, Georgia",United States,6.3,250,Valdosta Martial Arts Academy,Heavyweight,11,4,7,0,0,2,1,1,0,0,192.024,113.398,84.62,30.75,0.64,0.36,0.0
Tatsumitsu Wada,,1988-11-16,32.0,,"Kofu, Yamanashi",Japan,5.7,125,Independent,Flyweight,22,5,5,12,0,12,1,3,8,0,173.73600000000002,56.699,64.71,18.78,0.23,0.23,0.55
Sage Northcutt,Super,1996-03-01,25.0,,"Katy, Texas",United States,6.0,170,Team Alpha Male,Welterweight,11,5,3,3,0,3,1,2,0,0,182.88,77.11064,78.57,23.06,0.27,0.45,0.27
Pawel Pawlak,Plastinho,1989-02-08,32.0,,Lodz,Poland,6.0,185,Octopus Lodz,Middleweight,18,9,3,6,0,4,0,0,4,0,182.88,83.91452,81.82,25.09,0.17,0.5,0.33
